CV,PRECIO,DESCRIPCION,IMAGEN,MARCA,
111175,729,Kaiak eau de toilette masculino oceano - 100 ml - Kaiak,kaiak_oceano.png,natura,
111172,729,Kaiak eau de toilette masculino urbe - 100 ml - Kaiak,urbe.png,natura,
111174,729,Kaiak eau de toilette masculino aero - 100 ml - Kaiak,aero.png,natura,
156229,729,Kaiak eau de toilette femenina sonar - 100 ml - Kaiak,sonar.png,natura,
1897,719,Beijo de Humor eau de toilette femenina - 75 ml - Humor,humor.png,natura,
73574,"335,4",Frescor eau de toilette maracuyá - 150 ml - Ekos,maracuya_perf.png,natura,
73572,"335,4",Frescor eau de toilette castaña - 150 ml - Ekos,castana_perf.png,natura,
73575,559,Frescor eau de toilette pitanga preta - 150 ml - Ekos,pitanga_perf.png,natura,
170153,719,Humor envolve eau de toilette - 75 ml - Humor,envolve.png,natura,
76383,365,Body splash frambuesa y pimienta rosa - 200 ml - Tododia,body_fram_pimi.png,natura,
100679,365,Body splash ciruela y flor de vainilla - 200 ml - Tododia,body_cir_vai.png,natura,
95841,219,Body splash cereza y avellana - 200 ml - Tododia,body_cer_ave.png,natura,
70983,197,Pulpa hidratante para manos castaña,pulpa_cast.png,natura,
80967,197,Néctar para manos maracuyá,pulpa_mar.png,natura,
80969,197,Pulpa hidratante para manos ucuuba,pulpa_ucu.png,natura,
70825,135,Desodorante anti manchas roll on clásico 70 ml Erva Doce,eva_roll.png,natura,
96519,135,Desodorante antitranspirante en crema leche de algodón Tododia,leche_crema.png,natura,
74897,255,Crema para el cuerpo frambuesa y pimienta rosa,crema_fram_pimienta.png,natura,
174924,255,Crema Nutritiva Corporal Tododia Cereza Negra y Praliné,crema_cereza_negra.png,natura,
82509,331,Néctar hidratante corporal maracuyá,crema_mar.png,natura,
135083,109.99,Avon Labial Barra Ult Mat Truest Red,truest_Red.png,avon,
201665,109.99,Avon Ultra Matte Labial Chocolate Crush,chocolate_crush.png,avon,
201709,154.99,Avon Powerstay Labial Liq In Chrge Mauve,In_Chrge_Mauve.png,avon,
201711,154.99,Avon Powerstay Labial Liq Resilient Red,Resilient_Red.png,avon,
201646,89.99,Power Stay Esmalte Para Uñas Efecto Gel - 9 ml,esmalte_designer_red.png,avon,Color: Designer Red
201649,89.99,Power Stay Esmalte Para Uñas Efecto Gel - 9 ml,esmalte_stay_put_sangria.png,avon,Color: Stay Put Sangría
201776,394,Restage Far Away Original Eau de Parfum | Avon,Restage_Far_Away.png,avon,
201798,289,Fantasy Devil Fragancia Spray Para Ella - 50 ml,Fantasy_Devil.png,avon,
201793,289,Secret Fantasy Black Fragancia Spray Para Ella - 50 ml,Fantasy_Black.png,avon,
195463,490,Today Tomorrow Always Radiance Perfume Con Atomizador Para Ella - 50 ml,today_always_radiance.png,avon,
201795,189.99,Secret Fantasy Fragancia En Spray Para Ella - 50 ml,fantasy_rosa.png,avon,
195397,259,300 Km/H Nitrogen Fragancia Spray Para Él - 100 ml,nitrogen.png,avon,
195402,24.99,300 Km/H Max Turbo Desodorante Roll-On Antitranspirante - 50 ml,Max_turbo_des.png,avon,
195401,24.99,300 Km/H Quantum Desodorante Roll-On Antitranspirante - 50 ml,quantum_des.png,avon,
191095,32.99,Avon Care 6 En 1 Frutos Rojos Hidratación Radiante Crema Para Manos - 75 g,manos_frutos.png,avon,
167525,32.99,Avon Care 6 En 1 Humectación Esencial Crema Para Manos Con Extracto De Almendras - 75 g,manos_almendras.png,avon,
191099,136.99,Avon Care 6 En 1 Hidratación Suavizante Crema Corporal Frutas Tropicales - 1 Litro,corporal_frutas_tropicales.png,avon,
191113,136.99,Avon Care 6 En 1 Humectación Nutritiva Crema Corporal Con Glicerina y Aceite De Almendras - 1 Litro,corporal_almendra.png,avon,
191161,21.99,On Duty Desodorante Roll-On Antitranspirante Active Para Ella - 84 ml,des_active_ella.png,avon,
191159,29.99,On Duty Care Desodorante Roll-On Antitranspirante Aclarador De Axilas - 50 ml,des_anti.png,avon,
197024,54.99,Taza,taza.png,Casa-estilo,
192621,219.99,Báscula Verde,bascula.png,Casa-estilo,
192357,99.99,Juego 6 De Cuchillos Colors,cuchillos.png,Casa-estilo,
192497,49.99,Recipiente Para Guardar Jitomate,jitomate.png,Casa-estilo,
192498,49.99,Recipiente Para Guardar Cebolla,cebolla.png,Casa-estilo,
192615,49.99,Recipiente Para Guardar Limón,limon.png,Casa-estilo,
200354,99.99,Huevera 2 Niveles PCR,huevera.png,Casa-estilo,
209487,159.99,Escurridor Silver,escurridor.png,Casa-estilo,
193337,459.99,Ollas De Acero Redondas,ollas_acero.png,Casa-estilo,
192937,649.99,Sartenes Light,sartenes.png,Casa-estilo,
200293,99.99,Molinillo De Especies,molinillo.png,Casa-estilo,
196969,359.99,Cacerola Ovalada,cacerola.png,Casa-estilo,
200201,299.99,Set De 3 Botellas Con Tapa De Corcho,botellas_tapa_corcho.png,Casa-estilo,
209526,52.99,Contenedores Circulares,cotenedores.png,Casa-estilo,
200283,64.99,Botella De Gran Capacidad Stitch,botella_stitch.png,Casa-estilo,
209369,64.99,Botella Sport Con Tapa,botella_sport.png,Casa-estilo,
209280,149.99,Combo Recipientes Guardatodo Nochebuena,recipientes_nochebuena.png,Casa-estilo,
209360,399,Frazada Elegance,frazada.png,Casa-estilo,
209359,480,Cortina De Recámara,cortina.png,Casa-estilo,
209340,1119,Edredón Matrimonial Alaska Gris,edredon.png,Casa-estilo,
